prefecture,2015年,2020年,2025年,2030年,2035年,2040年
total,23.492613609100776,25.441478247014466,26.37899298108858,27.39400594943513,28.83259522100189,31.193328582336555
北海道,27.137001549499917,29.798379211754316,31.127247744862796,32.458857155472096,33.87538756681582,36.31086695206563
青森県,24.016919297542817,26.82020445940597,28.846852275259806,30.68770973335288,32.36624669040445,34.65030788961007
岩手県,22.507320442271187,25.140237724565694,27.041640157313324,28.74064339304126,30.19481175833728,32.28695531128272
宮城県,19.806189255110237,22.546996419171172,24.537025885497226,26.27933632685233,27.99277276431945,30.5390608764381
秋田県,26.00260201552949,29.098478094752927,31.517851713864026,33.4231046344071,34.808545888403955,36.78242972322944
山形県,20.74292356635941,23.5491882255347,25.680150196279232,27.389562566599672,28.67795700277645,30.49387011604822
福島県,22.226727469236845,25.40778859335497,27.830037090624344,29.837456709612276,31.431316824753218,33.69788465763806
茨城県,21.62025154061275,24.386201876486847,25.914610589437913,27.096774777268994,28.64022911139162,31.23666324574483
栃木県,20.43057610095253,23.03753799688865,24.531743037341755,25.621759392958293,26.893252454505657,29.18158974164273
群馬県,23.42548192131231,25.7419523550706,26.8873195656474,27.92673477493668,29.3854505333629,31.871027983165074
埼玉県,21.61804464259241,23.656126902664425,24.437878393049626,25.378715443370464,27.116869610035803,29.96568495907688
千葉県,22.904947292327854,24.98306260988694,25.76842255624162,26.661168130423984,28.29132892737729,30.976532539167458
東京都,20.32293249343066,21.183431285930478,21.489608316862338,22.544992438121543,24.427378837912045,26.881158990826602
神奈川県,21.566885823882338,23.343739407314892,24.190532752361964,25.601896384536754,27.858070701988858,30.68852570063399
新潟県,21.52713869708264,24.195730562772205,25.95054004745635,27.38719986828056,28.847952631625578,31.019327425065306
富山県,23.1342537911881,25.29176123960549,26.344912309558566,27.096973165957067,28.0707585097829,30.493321754951825
石川県,23.205004918703228,25.122133342676268,26.161683948277982,26.96579564429602,27.970896229738855,30.324062713975568
福井県,22.084304096921038,24.436331942618732,25.9738768479977,27.3034841763651,28.44065212725806,30.5189628336054
山梨県,24.78395762391222,27.415074390842143,29.22630765122677,31.17986241920886,33.384754295538364,35.94574942303437
長野県,24.487413678985792,26.578819287519927,27.83665253254754,29.123755435990017,30.74773087829477,33.239497088449724
岐阜県,23.52745548244972,25.64072522773205,26.704311534828907,27.72715299385917,28.977878577594236,31.389759482918144
静岡県,22.244717674676995,24.601391960162864,25.950371916620114,27.237871663365514,28.880814905963987,31.427398048091227
愛知県,20.8806597219045,22.326890757102987,22.88690665159502,23.763670527466697,25.27155133335822,27.80679564058996
三重県,25.32290863973606,27.218326255725216,28.117985453963517,29.186077475253903,30.48580902618705,32.8771655392065
滋賀県,20.53582408245855,22.57282970401074,23.649104696867433,24.68017269051681,25.963050028383865,28.374321810500412
京都府,25.272749695593795,27.046378247761123,27.797214577081164,28.7100828088246,30.135377871152276,32.712783082651235
大阪府,25.71433383838113,27.264906560380958,27.519379844961232,28.25906592986055,29.97154281147986,32.82172543603535
兵庫県,26.107822395518888,28.179280813809886,29.11209718098767,30.18008079209019,31.768194554718065,34.437291803774315
奈良県,27.132513821236522,29.689418631092245,30.85587326120556,31.890784027513945,33.30287764356785,35.82751892540008
和歌山県,30.23590870192738,32.09736973116495,32.977261469136,33.74425211124375,34.59502764987621,36.589494359233996
鳥取県,23.2246906272544,25.671974374448723,27.190397740644855,28.12121561616977,28.708126887621155,30.32115612124179
島根県,26.050060587700703,28.24526074047467,29.486945124014508,30.03366198585798,30.225545376114376,31.465315334497294
岡山県,25.322661369583088,27.060552706904723,27.868088276880837,28.29541693214035,28.90280079106312,30.85744138787801
広島県,25.938403424163642,27.718223333651427,28.391702641219695,28.79565148602115,29.505636554682468,31.444382664430915
山口県,30.395396249912114,32.42870153064242,33.12143413927618,33.2146932468155,33.38774548575467,34.94293395306699
徳島県,26.942616042058177,29.499993358923614,30.981278244028402,31.898068944681953,32.624793036480646,34.44231171102838
香川県,27.117066815559276,29.13521776174009,30.10889420408328,30.597946725860155,31.22065913953753,33.18370666966102
愛媛県,28.990787787257315,31.27761190975946,32.497961128413266,33.388450775883996,34.159324385822245,36.08614845968611
高知県,30.840401652383314,32.97372291306869,34.109511153424044,34.86213871935985,35.337859683155514,37.30932858910891
福岡県,23.597240665987744,25.791511836759383,26.885013981546035,27.641268926378327,28.590824336746497,30.585599616075896
佐賀県,22.172426738070953,24.773039251443997,26.367044699582355,27.38649641835024,28.117730948161274,29.527721910793503
長崎県,26.962462838926893,29.799828548485692,31.58676232353622,32.770521620882434,33.58763080080742,35.011508754459506
熊本県,24.86915801384925,27.350100343200772,28.91917397180978,29.950001022772767,30.507969321109712,31.644122837761973
大分県,27.716643883208487,30.166753398613803,31.51065508410576,32.1518965416451,32.545147664172305,33.93271556993718
宮崎県,28.577187579244413,31.436825877572932,33.22456257661875,34.27426668962747,34.73195477408538,36.016071284898224
鹿児島県,30.506581096720254,33.414418243824294,35.474397753441664,36.80353531570669,37.50581804447885,38.60055083605484
沖縄県,17.45250037999696,20.047411192972707,21.83355749997133,23.28072911496178,24.768574774098052,26.90846379354415
